index,Commune,NPA,Commune d'annonce / District,full_demand_thu,distance_to_venoge_km
148,Bonvillars,1427,Bonvillars,18.0,35.71
149,Onnens VD,1425,Onnens (VD),6.0,35.72
150,Fiez,1420,Fiez,7.0,35.81
151,Fenil-sur-Corsier,1809,Corsier-sur-Vevey,2.0,36.0
153,Chailly-Montreux,1816,Montreux,2.0,36.78
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,73.0,37.0
155,Lovatens,1682,Lovatens,3.0,37.09
156,Vich,1267,Vich,9.0,37.17
157,Maracon,1613,Maracon,13.0,37.23
159,Molondin,1415,Molondin,2.0,37.35
160,Clarens,1815,Montreux,20.0,37.78
161,Blonay,1807,Montreux,48.0,38.06
162,Brent,1817,Montreux,2.0,38.25
163,Gimel,1188,Gimel,33.0,38.37
164,L'Orient,1341,Le Chenit,4.0,38.89
165,Le Solliat,1347,Le Chenit,22.0,39.01
166,Le Brassus,1348,Le Chenit,18.0,39.25
167,Villars-Burquin,1423,Tévenon,15.0,39.27
168,L'Auberson,1454,Sainte-Croix,2.0,39.37
170,Duillier,1266,Duillier,15.0,39.71
171,La Sagne (Ste-Croix),1450,Sainte-Croix,20.0,39.85
172,Chernex,1822,Montreux,2.0,39.88
173,Prangins,1197,Prangins,30.0,40.06
174,Montreux,1820,Montreux,13.0,40.07
175,Chêne-Pâquier,1464,Chêne-Pâquier,6.0,40.54
176,Genolier,1272,Genolier,11.0,40.57
177,Longirod,1261,Longirod,25.0,40.81
178,Champtauroz,1537,Champtauroz,2.0,41.84
180,Trélex,1270,Trélex,18.0,42.19
182,Chamby,1832,Montreux,1.0,42.8
183,Givrins,1271,Givrins,3.0,42.91
184,Mutrux,1428,Mutrux,2.0,43.15
185,Eysins,1262,Eysins,2.0,44.13
186,Borex,1277,Borex,8.0,44.66
187,Vaumarcus,2028,Concise,2.0,45.19
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,40.0,45.42
189,Bassins,1269,Bassins,11.0,45.45
190,Gingins,1276,Saint-Cergue,2.0,45.6
192,Crassier,1263,Crassier,18.0,46.19
193,Mauborget,1453,Grandevent,7.0,46.45
194,Crans VD,1299,Crans (VD),18.0,46.63
195,Chéserex,1275,Chéserex,15.0,47.35
196,Rennaz,1847,Rennaz,2.0,47.79
197,Roche VD,1852,Roche (VD),10.0,49.01
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,8.0,49.44
199,Payerne,1530,Payerne,8.0,49.52
200,Noville,1845,Noville,6.0,49.53
201,Founex,1297,Founex,12.0,50.51
202,Chessel,1846,Chessel,4.0,51.35
203,Coppet,1296,Coppet,17.0,51.69
204,Granges-près-Marnand,1523,Valbroye,2.0,51.94
205,Commugny,1291,Commugny,4.0,52.22
206,Tannay,1295,Tannay,22.0,52.24
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,42.0,53.04
209,Marnand,1524,Valbroye,3.0,53.83
210,La Rippe,1278,La Rippe,3.0,54.09
212,St-Cergue,1264,Saint-Cergue,4.0,55.07
215,Chevroux,1545,Chevroux,4.0,56.73
216,Aigle,1860,Aigle,27.0,56.8
218,Arzier-Le Muids,1273,Arzier-Le Muids,12.0,59.36
220,Villeneuve VD,1844,Villeneuve (VD),21.0,59.8
221,St-Triphon,1867,Ollon,17.0,59.8
222,La Tine,1658,Rossinière,3.0,61.45
224,Salavaux,1585,Vully-les-Lacs,4.0,62.83
226,Bex,1880,Bex,21.0,64.72
227,Chabrey,1589,Vully-les-Lacs,8.0,66.19
230,Lavey-les-Bains,1892,Lavey-Morcles,6.0,68.54
231,Les Moulins,1660,Château-d'Oex,11.0,68.62
232,Chesières,1885,Ollon,2.0,69.28
233,Cudrefin,1588,Cudrefin,25.0,69.89
235,La Comballaz,1862,Ormont-Dessous,4.0,72.24
237,Gryon,1882,Gryon,4.0,77.0
238,Corbeyrier,1856,Ormont-Dessous,2.0,89.02
