index,Commune,NPA,Commune d'annonce / District,full_demand_wed,distance_to_venoge_km,P_Y,adjusted_demand_wed
40,Apples,1143,Hautemorges,100.0,15.63,0.7055773325914292,71
40,Apples,1143,Hautemorges,72.0,15.63,0.7055773325914292,51
41,Froideville,1055,Froideville,50.0,15.75,0.700567142473973,35
42,Lausanne,1006,Lausanne,100.0,16.16,0.6830880948621851,68
42,Lausanne,1006,Lausanne,37.0,16.16,0.6830880948621851,25
43,Lausanne,1010,Lausanne,100.0,16.2,0.6813537337890256,68
43,Lausanne,1010,Lausanne,8.0,16.2,0.6813537337890256,5
44,Lausanne,1012,Lausanne,83.0,16.59,0.6641849304023333,55
45,Epalinges,1066,Epalinges,100.0,16.67,0.6606069144942676,66
45,Epalinges,1066,Epalinges,3.0,16.67,0.6606069144942676,2
46,Lausanne,1005,Lausanne,51.0,17.01,0.6451986045631822,33
47,Echichens,1112,Echichens,31.0,17.17,0.6378396846693871,20
48,Tolochenaz,1131,Tolochenaz,37.0,17.27,0.6332070634815847,23
49,Villars-Ste-Croix,1029,Villars-Sainte-Croix,8.0,17.3,0.6318124177361016,5
50,Corcelles-sur-Chavornay,1374,Chavornay,12.0,17.33,0.630415564271682,8
51,Essert-Pittet,1435,Chavornay,3.0,17.61,0.6172754928067907,2
52,Lully VD,1132,Lully (VD),11.0,17.89,0.6039617331092245,7
53,Les Monts-de-Pully,1068,Pully,2.0,17.96,0.6006082195512744,1
54,Peyres-Possens,1063,Montanaire,19.0,19.11,0.5443828762475714,10
55,Lussy-sur-Morges,1167,Lussy-sur-Morges,20.0,19.46,0.5269737865749144,11
56,Villars-Tiercelin,1058,Jorat-Menthue,13.0,19.53,0.5234827114426752,7
57,Villars-Mendraz,1061,Jorat-Menthue,7.0,19.67,0.5164940131078766,4
58,Denens,1135,Denens,6.0,19.82,0.5089990281259547,3
60,La Croix (Lutry),1090,Lutry,17.0,20.14,0.49300045729748126,8
61,Corcelles-le-Jorat,1082,Corcelles-le-Jorat,2.0,20.15,0.4925005624493796,1
62,Montricher,1147,Montricher,17.0,20.65,0.46754569361268133,8
63,Essertines-sur-Yverdon,1417,Essertines-sur-Yverdon,18.0,20.98,0.45115626505294826,8
64,Peney-le-Jorat,1059,Jorat-Menthue,3.0,21.03,0.4486813516217847,1
65,Vuarrens,1418,Vuarrens,28.0,21.27,0.43683920889452504,12
66,Agiez,1352,Agiez,12.0,21.45,0.42800386706848137,5
67,Valeyres-sous-Rances,1358,Valeyres-sous-Rances,11.0,21.77,0.41241276875119876,5
68,Villars-sous-Yens,1168,Villars-sous-Yens,4.0,22.24,0.38983638905718954,2
69,Ogens,1045,Ogens,2.0,22.24,0.38983638905718954,1
70,Hermenches,1513,Hermenches,1.0,22.53,0.37613168601042085,0
71,Sottens,1062,Jorat-Menthue,7.0,22.73,0.36679293651841527,3
72,Ropraz,1088,Ropraz,2.0,22.89,0.359392923360512,1
73,Savigny,1073,Savigny,67.0,23.12,0.34887226139659494,23
74,Berolle,1149,Bière,3.0,23.38,0.337154645059339,1
75,Lavigny,1175,Lavigny,16.0,23.76,0.3203856670948646,5
76,Montpreveyres,1081,Montpreveyres,9.0,23.78,0.31951533878339816,3
77,Pailly,1416,Pailly,16.0,23.93,0.31302819161693,5
78,Ursins,1412,Ursins,9.0,24.22,0.3006930071413841,3
79,Montcherand,1354,Montcherand,8.0,24.57,0.28618201140363403,2
80,Mathod,1438,Mathod,8.0,24.82,0.2760780434271086,2
82,Rances,1439,Rances,1.0,25.11,0.26463800790147674,0
83,Orzens,1413,Orzens,7.0,25.18,0.26192253366857116,2
84,Aubonne,1170,Aubonne,26.0,25.22,0.26037892892097797,7
85,Vaulion,1325,Vaulion,6.0,25.22,0.26037892892097797,2
86,Forel (Lavaux),1072,Forel (Lavaux),42.0,25.82,0.23794122425043068,10
88,Féchy,1173,Féchy,7.0,26.33,0.21994275501174526,2
89,Oppens,1047,Oppens,3.0,26.4,0.21755022357688752,1
90,Chexbres,1071,Chexbres,15.0,26.4,0.21755022357688752,3
92,Suscévaz,1437,Suscévaz,4.0,26.64,0.20949038109877877,1
93,Gossens,1407,Donneloye,9.0,26.73,0.2065250922659967,2
94,Moudon,1510,Moudon,74.0,26.87,0.2019743549401669,15
95,Vucherens,1509,Vucherens,6.0,27.24,0.19030955880907033,1
96,Champvent,1443,Champvent,11.0,27.27,0.18938672534996576,2
97,Les Cullayes,1080,Forel (Lavaux),15.0,27.56,0.18064258237704414,3
98,Perroy,1166,Féchy,15.0,27.66,0.17770125034862685,3
99,Le Pont,1342,L'Abbaye,9.0,28.04,0.166866472460277,2
100,Chanéaz,1409,Montanaire,2.0,28.15,0.16383036122335892,0
101,Neyruz-sur-Moudon,1515,Montanaire,2.0,28.47,0.15525052521746627,0
102,Essertes,1078,Oron,2.0,28.89,0.14455026929774198,0
103,L'Abbaye,1344,L'Abbaye,4.0,29.45,0.13124446943852333,1
104,Puidoux,1070,Puidoux,21.0,29.6,0.1278615663190813,3
105,Montherod,1174,Aubonne,15.0,29.64,0.12697211516506995,2
106,Mont-sur-Rolle,1185,Essertines-sur-Rolle,27.0,29.77,0.12411785352653222,3
107,Cuarny,1404,Cuarny,2.0,29.87,0.12195989597306507,0
108,Bougy-Villars,1172,Bougy-Villars,1.0,30.02,0.11878358696587324,0
109,Servion,1077,Servion,27.0,30.17,0.11567910281505907,3
110,Mézières VD,1083,Jorat-Mézières,10.0,30.2,0.1150667320455498,1
111,Les Tavernes,1607,Oron,15.0,30.22,0.11466005324769508,2
112,St-Livres,1176,Saint-Livres,4.0,30.27,0.11364882707857812,0
113,Le Séchey,1345,Le Lieu,1.0,30.45,0.11007257436250302,0
114,Cronay,1406,Cronay,7.0,30.57,0.10774352354911987,1
115,Châtillens,1610,Oron,29.0,30.79,0.10358601618235926,3
