index,Commune,NPA,Commune d'annonce / District,full_demand_fri,distance_to_venoge_km,P_Y,adjusted_demand_fri
127,Bursinel,1195,Gilly,7.0,32.67,0.07350876054159496,1
128,Oulens-sur-Lucens,1522,Lucens,12.0,32.67,0.07350876054159496,1
129,Chesalles-sur-Moudon,1683,Lucens,2.0,32.84,0.07122649724504405,0
131,Forel-sur-Lucens,1526,Lucens,6.0,32.95,0.06978478287658003,0
132,Saubraz,1189,Saubraz,1.0,33.33,0.06500967966017807,0
133,Carrouge VD,1084,Vulliens,2.0,33.34,0.06488821852707811,0
134,Combremont-le-Petit,1536,Valbroye,3.0,33.49,0.06309147468456622,0
135,Yvonand,1462,Yvonand,21.0,33.65,0.061226162819907996,1
136,Vinzel,1184,Vinzel,3.0,33.76,0.05997379701355931,0
139,La Conversion,1093,Lutry,8.0,33.94,0.05797608848430512,0
142,Champagne,1424,Champagne,18.0,34.42,0.05295019146166549,1
143,Les Bioux,1346,L'Abbaye,2.0,34.44,0.05274996390066341,0
145,Vugelles-La Mothe,1431,Vugelles-La Mothe,4.0,34.6,0.051173700917091634,0
146,Burtigny,1268,Bursins,9.0,35.06,0.046886687986208674,0
147,St-Oyens,1187,Saint-Oyens,3.0,35.53,0.04286043817719346,0
148,Bonvillars,1427,Bonvillars,6.0,35.71,0.04140766031765002,0
149,Onnens VD,1425,Onnens (VD),3.0,35.72,0.04132834695711763,0
150,Fiez,1420,Fiez,7.0,35.81,0.04062103997968436,0
153,Chailly-Montreux,1816,Montreux,1.0,36.78,0.03369923499611279,0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,27.0,37.0,0.032295464698450495,1
155,Lovatens,1682,Lovatens,8.0,37.09,0.03173763156159819,0
156,Vich,1267,Vich,3.0,37.17,0.03124961263810414,0
157,Maracon,1613,Maracon,9.0,37.23,0.03088837206073071,0
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,2.0,37.34,0.030236571061530076,0
159,Molondin,1415,Molondin,10.0,37.35,0.03017798148587592,0
160,Clarens,1815,Montreux,8.0,37.78,0.027760176832927825,0
161,Blonay,1807,Montreux,23.0,38.06,0.026288077065801482,1
162,Brent,1817,Montreux,4.0,38.25,0.02533270322687172,0
163,Gimel,1188,Gimel,4.0,38.37,0.024746822731352338,0
165,Le Solliat,1347,Le Chenit,2.0,39.01,0.02183850688113971,0
166,Le Brassus,1348,Le Chenit,4.0,39.25,0.020836344518680425,0
167,Villars-Burquin,1423,Tévenon,1.0,39.27,0.020754891978608043,0
168,L'Auberson,1454,Sainte-Croix,4.0,39.37,0.020352281848807906,0
169,Rovray,1463,Rovray,1.0,39.4,0.020232997095785403,0
170,Duillier,1266,Duillier,2.0,39.71,0.019039806775931898,0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,31.0,39.85,0.018523824963299396,1
172,Chernex,1822,Montreux,12.0,39.88,0.018415055352233634,0
173,Prangins,1197,Prangins,13.0,40.06,0.0177754789195206,0
174,Montreux,1820,Montreux,7.0,40.07,0.017740593553769234,0
175,Chêne-Pâquier,1464,Chêne-Pâquier,2.0,40.54,0.016174700756910805,0
176,Genolier,1272,Genolier,8.0,40.57,0.01607949892995659,0
177,Longirod,1261,Longirod,10.0,40.81,0.01533747180148822,0
178,Champtauroz,1537,Champtauroz,8.0,41.84,0.012517884549182505,0
179,Signy,1274,Signy-Avenex,4.0,42.11,0.011867655105161289,0
180,Trélex,1270,Trélex,4.0,42.19,0.011681484072556727,0
183,Givrins,1271,Givrins,7.0,42.91,0.010130725036707328,0
184,Mutrux,1428,Mutrux,4.0,43.15,0.009660523027407903,0
185,Eysins,1262,Eysins,8.0,44.13,0.00795474594886333,0
186,Borex,1277,Borex,3.0,44.66,0.007160423282069831,0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,21.0,45.42,0.00615693636524221,0
189,Bassins,1269,Bassins,9.0,45.45,0.006120330768579924,0
190,Gingins,1276,Saint-Cergue,4.0,45.6,0.005940522198340365,0
192,Crassier,1263,Crassier,1.0,46.19,0.005282811642053049,0
195,Chéserex,1275,Chéserex,1.0,47.35,0.004193572052512613,0
197,Roche VD,1852,Roche (VD),7.0,49.01,0.0030124036920728165,0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,7.0,49.44,0.0027648505949215293,0
199,Payerne,1530,Payerne,20.0,49.52,0.002721084422724872,0
203,Coppet,1296,Coppet,2.0,51.69,0.0017647146490522212,0
204,Granges-près-Marnand,1523,Valbroye,7.0,51.94,0.001678792987273351,0
205,Commugny,1291,Commugny,10.0,52.22,0.0015875096141746486,0
206,Tannay,1295,Tannay,2.0,52.24,0.0015811822793922396,0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,11.0,53.04,0.0013477097364603288,0
210,La Rippe,1278,La Rippe,4.0,54.09,0.0010927112250569894,0
211,Grandcour,1543,Grandcour,8.0,54.1,0.0010905303674609726,0
212,St-Cergue,1264,Saint-Cergue,4.0,55.07,0.0008983967244533916,0
215,Chevroux,1545,Chevroux,2.0,56.73,0.0006447519041795738,0
216,Aigle,1860,Aigle,4.0,56.8,0.0006357939683952288,0
217,La Cure,1265,Saint-Cergue,2.0,58.72,0.00043314706703251213,0
218,Arzier-Le Muids,1273,Arzier-Le Muids,2.0,59.36,0.00038112574481965583,0
220,Villeneuve VD,1844,Villeneuve (VD),12.0,59.8,0.0003490312521100613,0
221,St-Triphon,1867,Ollon,9.0,59.8,0.0003490312521100613,0
223,Villars-le-Grand,1584,Vully-les-Lacs,2.0,62.51,0.00020302061319914662,0
224,Salavaux,1585,Vully-les-Lacs,6.0,62.83,0.0001904367470755795,0
226,Bex,1880,Bex,12.0,64.72,0.00013050089024732264,0
227,Chabrey,1589,Vully-les-Lacs,6.0,66.19,9.726247877850616e-05,0
228,Huémoz,1884,Ollon,2.0,67.26,7.852617657084891e-05,0
229,Vallamand,1586,Vully-les-Lacs,2.0,68.21,6.493882137304732e-05,0
230,Lavey-les-Bains,1892,Lavey-Morcles,2.0,68.54,6.079148711597458e-05,0
233,Cudrefin,1588,Cudrefin,26.0,69.89,4.6407642245884355e-05,0
