"","PLZ","day","ticket"
"701",1252,"SA",3
"702",1253,"JE",6
"703",1254,"SA",1
"704",1255,"ME",21
"705",1255,"JE",8
"706",1255,"VE",10
"707",1255,"SA",13
"708",1256,"ME",13
"709",1256,"JE",4
"710",1256,"VE",5
"711",1256,"SA",3
"712",1257,"ME",6
"713",1257,"VE",1
"714",1257,"SA",5
"715",1258,"ME",7
"716",1258,"JE",9
"717",1258,"VE",2
"718",1258,"SA",6
"719",1260,"ME",101
"720",1260,"JE",66
"721",1260,"VE",58
"722",1260,"SA",40
"723",1261,"ME",6
"724",1261,"JE",22
"725",1261,"VE",9
"726",1261,"SA",15
"727",1262,"ME",10
"728",1262,"JE",2
"729",1262,"VE",7
"730",1262,"SA",2
"731",1263,"ME",7
"732",1263,"JE",16
"733",1263,"VE",1
"734",1263,"SA",10
"735",1264,"ME",9
"736",1264,"JE",4
"737",1264,"VE",4
"738",1264,"SA",11
"739",1265,"VE",2
"740",1265,"SA",3
"741",1266,"ME",4
"742",1266,"JE",13
"743",1266,"VE",2
"744",1267,"ME",6
"745",1267,"JE",8
"746",1267,"VE",3
"747",1267,"SA",9
"748",1268,"ME",19
"749",1268,"JE",34
"750",1268,"VE",8
"751",1268,"SA",4
"752",1269,"ME",14
"753",1269,"JE",10
"754",1269,"VE",8
"755",1269,"SA",2
"756",1270,"ME",6
"757",1270,"JE",16
"758",1270,"VE",4
"759",1270,"SA",5
"760",1271,"JE",3
"761",1271,"VE",6
"762",1271,"SA",3
"763",1272,"ME",4
"764",1272,"JE",10
"765",1272,"VE",7
"766",1272,"SA",8
"767",1273,"ME",12
"768",1273,"JE",11
"769",1273,"VE",2
"770",1273,"SA",18
"771",1274,"ME",6
"772",1274,"VE",4
"773",1275,"ME",4
"774",1275,"JE",13
"775",1275,"VE",1
"776",1276,"ME",10
"777",1276,"JE",2
"778",1276,"VE",4
"779",1277,"ME",6
"780",1277,"JE",7
"781",1277,"VE",3
"782",1278,"JE",3
"783",1278,"VE",4
"784",1278,"SA",15
"785",1279,"ME",12
"786",1279,"JE",7
"787",1279,"VE",6
"788",1279,"SA",3
"789",1281,"JE",2
"790",1283,"ME",2
"791",1283,"SA",2
"792",1284,"ME",9
"793",1284,"JE",3
"794",1284,"SA",4
"795",1285,"ME",7
"796",1285,"JE",8
"797",1285,"VE",2
"798",1286,"JE",3
"799",1286,"VE",2
"800",1286,"SA",2
"801",1288,"ME",3
"802",1288,"JE",6
"803",1290,"ME",33
"804",1290,"JE",38
"805",1290,"VE",10
"806",1290,"SA",9
"807",1291,"ME",2
"808",1291,"JE",4
"809",1291,"VE",9
"810",1291,"SA",2
"811",1292,"ME",4
"812",1292,"VE",3
"813",1292,"SA",7
"814",1293,"ME",16
"815",1293,"VE",8
"816",1293,"SA",5
"817",1294,"ME",1
"818",1294,"JE",6
"819",1294,"SA",3
"820",1295,"ME",8
"821",1295,"JE",20
"822",1295,"VE",2
"823",1295,"SA",2
"824",1296,"ME",8
"825",1296,"JE",15
"826",1296,"VE",2
"827",1296,"SA",16
"828",1297,"ME",19
"829",1297,"JE",11
"830",1297,"SA",8
"831",1298,"ME",9
"832",1299,"ME",6
"833",1299,"JE",16
"834",1299,"SA",9
"835",1302,"ME",44
"836",1302,"JE",47
"837",1302,"VE",30
"838",1302,"SA",58
"839",1303,"ME",161
"840",1303,"JE",181
"841",1303,"VE",166
"842",1303,"SA",203
"843",1304,"ME",206
"844",1304,"JE",222
