index,Commune,NPA,Commune d'annonce / District,full_demand_sat,distance_to_venoge_km,P_Y,adjusted_demand_sat
113,Le Séchey,1345,Le Lieu,2.0,30.45,0.11007257436250302,0
114,Cronay,1406,Cronay,8.0,30.57,0.10774352354911987,1
115,Châtillens,1610,Oron,11.0,30.79,0.10358601618235926,1
116,Bussy-sur-Moudon,1514,Bussy-sur-Moudon,4.0,30.86,0.10229322865649329,0
118,Baulmes,1446,Baulmes,8.0,30.92,0.1011965239313324,1
119,Corseaux,1802,Corseaux,10.0,30.96,0.10047119560759603,1
120,Chardonne,1803,Chardonne,3.0,31.29,0.09466163166868698,0
122,Jongny,1805,Corsier-sur-Vevey,11.0,31.96,0.08378477426774984,1
123,Corsier-sur-Vevey,1804,Jongny,19.0,32.04,0.08256468722313899,2
124,Bursins,1183,Gilly,4.0,32.33,0.07827634537010729,0
125,Gilly,1182,Gilly,20.0,32.34,0.07813216870533485,2
126,Orges,1430,Orges,7.0,32.47,0.07627987420426198,1
127,Bursinel,1195,Gilly,3.0,32.67,0.07350876054159496,0
128,Oulens-sur-Lucens,1522,Lucens,13.0,32.67,0.07350876054159496,1
130,Ferlens VD,1076,Jorat-Mézières,6.0,32.92,0.07017527889079064,0
131,Forel-sur-Lucens,1526,Lucens,1.0,32.95,0.06978478287658003,0
132,Saubraz,1189,Saubraz,10.0,33.33,0.06500967966017807,1
133,Carrouge VD,1084,Vulliens,7.0,33.34,0.06488821852707811,0
135,Yvonand,1462,Yvonand,21.0,33.65,0.061226162819907996,1
136,Vinzel,1184,Vinzel,6.0,33.76,0.05997379701355931,0
139,La Conversion,1093,Lutry,15.0,33.94,0.05797608848430512,1
140,Essertines-sur-Rolle,1186,Essertines-sur-Rolle,1.0,34.02,0.05710840579237541,0
141,Ecoteaux,1612,Oron,6.0,34.15,0.05572439792866542,0
142,Champagne,1424,Champagne,6.0,34.42,0.05295019146166549,0
143,Les Bioux,1346,L'Abbaye,3.0,34.44,0.05274996390066341,0
144,Le Mont-Pèlerin,1801,Chardonne,8.0,34.51,0.05205478444878532,0
146,Burtigny,1268,Bursins,4.0,35.06,0.046886687986208674,0
148,Bonvillars,1427,Bonvillars,8.0,35.71,0.04140766031765002,0
150,Fiez,1420,Fiez,8.0,35.81,0.04062103997968436,0
152,Prahins,1408,Donneloye,1.0,36.16,0.03797910612283806,0
153,Chailly-Montreux,1816,Montreux,4.0,36.78,0.03369923499611279,0
154,La Tour-de-Peilz,1814,La Tour-de-Peilz,63.0,37.0,0.032295464698450495,2
155,Lovatens,1682,Lovatens,6.0,37.09,0.03173763156159819,0
156,Vich,1267,Vich,10.0,37.17,0.03124961263810414,0
157,Maracon,1613,Maracon,16.0,37.23,0.03088837206073071,0
158,Fontaines-sur-Grandson,1421,Fontaines-sur-Grandson,2.0,37.34,0.030236571061530076,0
159,Molondin,1415,Molondin,6.0,37.35,0.03017798148587592,0
160,Clarens,1815,Montreux,13.0,37.78,0.027760176832927825,0
161,Blonay,1807,Montreux,31.0,38.06,0.026288077065801482,1
162,Brent,1817,Montreux,7.0,38.25,0.02533270322687172,0
163,Gimel,1188,Gimel,22.0,38.37,0.024746822731352338,1
164,L'Orient,1341,Le Chenit,4.0,38.89,0.022357111506606082,0
165,Le Solliat,1347,Le Chenit,13.0,39.01,0.02183850688113971,0
166,Le Brassus,1348,Le Chenit,8.0,39.25,0.020836344518680425,0
167,Villars-Burquin,1423,Tévenon,17.0,39.27,0.020754891978608043,0
171,La Sagne (Ste-Croix),1450,Sainte-Croix,22.0,39.85,0.018523824963299396,0
172,Chernex,1822,Montreux,10.0,39.88,0.018415055352233634,0
173,Prangins,1197,Prangins,20.0,40.06,0.0177754789195206,0
174,Montreux,1820,Montreux,8.0,40.07,0.017740593553769234,0
175,Chêne-Pâquier,1464,Chêne-Pâquier,3.0,40.54,0.016174700756910805,0
176,Genolier,1272,Genolier,9.0,40.57,0.01607949892995659,0
177,Longirod,1261,Longirod,17.0,40.81,0.01533747180148822,0
180,Trélex,1270,Trélex,6.0,42.19,0.011681484072556727,0
181,Glion,1823,Montreux,2.0,42.58,0.01081443636025442,0
182,Chamby,1832,Montreux,6.0,42.8,0.010353737531091752,0
183,Givrins,1271,Givrins,3.0,42.91,0.010130725036707328,0
184,Mutrux,1428,Mutrux,8.0,43.15,0.009660523027407903,0
185,Eysins,1262,Eysins,2.0,44.13,0.00795474594886333,0
188,St-Légier-La Chiésaz,1806,Blonay - Saint-Légier,13.0,45.42,0.00615693636524221,0
189,Bassins,1269,Bassins,2.0,45.45,0.006120330768579924,0
191,Les Rasses,1452,Sainte-Croix,4.0,45.78,0.005731671043707487,0
192,Crassier,1263,Crassier,11.0,46.19,0.005282811642053049,0
193,Mauborget,1453,Grandevent,1.0,46.45,0.0050164684285240475,0
194,Crans VD,1299,Crans (VD),10.0,46.63,0.004839946090898515,0
196,Rennaz,1847,Rennaz,12.0,47.79,0.003841666337345549,0
197,Roche VD,1852,Roche (VD),4.0,49.01,0.0030124036920728165,0
198,Chavannes-de-Bogis,1279,Chavannes-de-Bogis,3.0,49.44,0.0027648505949215293,0
199,Payerne,1530,Payerne,10.0,49.52,0.002721084422724872,0
200,Noville,1845,Noville,7.0,49.53,0.00271566245674634,0
201,Founex,1297,Founex,9.0,50.51,0.002233387282924068,0
202,Chessel,1846,Chessel,2.0,51.35,0.001888654816582184,0
203,Coppet,1296,Coppet,18.0,51.69,0.0017647146490522212,0
205,Commugny,1291,Commugny,2.0,52.22,0.0015875096141746486,0
206,Tannay,1295,Tannay,2.0,52.24,0.0015811822793922396,0
207,Chavannes-des-Bois,1290,Chavannes-des-Bois,10.0,53.04,0.0013477097364603288,0
210,La Rippe,1278,La Rippe,17.0,54.09,0.0010927112250569894,0
212,St-Cergue,1264,Saint-Cergue,12.0,55.07,0.0008983967244533916,0
215,Chevroux,1545,Chevroux,2.0,56.73,0.0006447519041795738,0
216,Aigle,1860,Aigle,11.0,56.8,0.0006357939683952288,0
217,La Cure,1265,Saint-Cergue,3.0,58.72,0.00043314706703251213,0
218,Arzier-Le Muids,1273,Arzier-Le Muids,20.0,59.36,0.00038112574481965583,0
220,Villeneuve VD,1844,Villeneuve (VD),6.0,59.8,0.0003490312521100613,0
221,St-Triphon,1867,Ollon,13.0,59.8,0.0003490312521100613,0
224,Salavaux,1585,Vully-les-Lacs,7.0,62.83,0.0001904367470755795,0
225,Constantine,1587,Vully-les-Lacs,1.0,64.24,0.00014364814894831805,0
226,Bex,1880,Bex,11.0,64.72,0.00013050089024732264,0
227,Chabrey,1589,Vully-les-Lacs,4.0,66.19,9.726247877850616e-05,0
230,Lavey-les-Bains,1892,Lavey-Morcles,1.0,68.54,6.079148711597458e-05,0
232,Chesières,1885,Ollon,6.0,69.28,5.242890847627327e-05,0
233,Cudrefin,1588,Cudrefin,8.0,69.89,4.6407642245884355e-05,0
237,Gryon,1882,Gryon,6.0,77.0,1.1195359505113293e-05,0
238,Corbeyrier,1856,Ormont-Dessous,2.0,89.02,1.0115760360605593e-06,0
