"","PLZ","day","ticket"
"494",2502,"JE",2
"495",2503,"JE",3
"496",2504,"JE",1
"497",2518,"JE",2
"498",2520,"JE",6
"499",2523,"JE",1
"500",2525,"JE",8
"501",2532,"JE",4
"502",2540,"JE",2
"503",2560,"JE",2
"504",2575,"JE",1
"505",2603,"JE",2
"506",2605,"JE",2
"507",2606,"JE",5
"508",2610,"JE",4
"509",2612,"JE",1
"510",2710,"JE",3
"511",2712,"JE",2
"512",2720,"JE",4
"513",2740,"JE",2
"514",2743,"JE",2
"515",2744,"JE",2
"516",2800,"JE",9
"517",2822,"JE",2
"518",2824,"JE",2
"519",2852,"JE",4
"520",2854,"JE",1
"521",2900,"JE",2
"522",2902,"JE",1
"523",2923,"JE",1
"524",3006,"JE",3
"525",3011,"JE",2
"526",3012,"JE",1
"527",3027,"JE",1
"528",3032,"JE",2
"529",3043,"JE",1
"530",3063,"JE",1
"531",3072,"JE",3
"532",3073,"JE",3
"533",3076,"JE",2
"534",3116,"JE",2
"535",3212,"JE",2
"536",3225,"JE",1
"537",3232,"JE",1
"538",3238,"JE",2
"539",3280,"JE",2
"540",3297,"JE",1
"541",3400,"JE",2
"542",3500,"JE",1
"543",3778,"JE",1
"544",3800,"JE",2
"545",3814,"JE",6
"546",3960,"JE",8
"547",3961,"JE",2
"548",3963,"JE",6
"549",3966,"JE",3
"550",3968,"JE",2
"551",3971,"JE",2
"552",3976,"JE",2
"553",3977,"JE",6
"554",4052,"JE",2
"555",4058,"JE",2
"556",4103,"JE",2
"557",4125,"JE",2
"558",4514,"JE",2
"559",4528,"JE",5
"560",4571,"JE",1
"561",4704,"JE",1
"562",5107,"JE",1
"563",5200,"JE",1
"564",6010,"JE",1
"565",6020,"JE",1
"566",6024,"JE",3
"567",6280,"JE",2
"568",6300,"JE",4
"569",6962,"JE",2
"570",6992,"JE",2
"571",8003,"JE",1
"572",8048,"JE",1
"573",8052,"JE",2
"574",8057,"JE",2
"575",8505,"JE",2
"576",8610,"JE",1
"577",8805,"JE",2
"578",8932,"JE",2
"579",8952,"JE",1
"580",9008,"JE",2
"581",9300,"JE",5
