"","PLZ","day","ticket"
"579",2301,"ME",2
"580",2316,"ME",14
"581",2336,"ME",2
"582",2338,"ME",2
"583",2340,"ME",9
"584",2345,"ME",10
"585",2350,"ME",7
"586",2360,"ME",2
"587",2400,"ME",61
"588",2405,"ME",2
"589",2406,"ME",2
"590",2414,"ME",2
"591",2502,"ME",17
"592",2503,"ME",14
"593",2504,"ME",15
"594",2512,"ME",2
"595",2514,"ME",1
"596",2515,"ME",3
"597",2518,"ME",1
"598",2520,"ME",5
"599",2523,"ME",7
"600",2525,"ME",34
"601",2533,"ME",5
"602",2534,"ME",5
"603",2535,"ME",2
"604",2536,"ME",1
"605",2538,"ME",1
"606",2540,"ME",1
"607",2542,"ME",3
"608",2556,"ME",3
"609",2557,"ME",3
"610",2560,"ME",2
"611",2564,"ME",1
"612",2603,"ME",3
"613",2605,"ME",3
"614",2606,"ME",1
"615",2607,"ME",2
"616",2608,"ME",1
"617",2610,"ME",7
"618",2612,"ME",1
"619",2613,"ME",4
"620",2615,"ME",3
"621",2616,"ME",5
"622",2710,"ME",4
"623",2712,"ME",1
"624",2714,"ME",1
"625",2718,"ME",4
"626",2720,"ME",10
"627",2722,"ME",2
"628",2723,"ME",1
"629",2732,"ME",8
"630",2735,"ME",6
"631",2738,"ME",3
"632",2740,"ME",19
"633",2744,"ME",4
"634",2746,"ME",2
"635",2747,"ME",3
"636",2800,"ME",27
"637",2802,"ME",4
"638",2822,"ME",18
"639",2824,"ME",6
"640",2825,"ME",3
"641",2827,"ME",1
"642",2828,"ME",3
"643",2830,"ME",16
"644",2843,"ME",6
"645",2852,"ME",6
"646",2853,"ME",3
"647",2854,"ME",13
"648",2855,"ME",7
"649",2856,"ME",2
"650",2864,"ME",2
"651",2900,"ME",5
"652",2902,"ME",1
"653",2905,"ME",3
"654",2906,"ME",1
"655",2915,"ME",1
"656",2925,"ME",2
"657",2926,"ME",5
"658",2932,"ME",3
"659",2942,"ME",9
"660",2950,"ME",9
"661",2952,"ME",1
"662",3005,"ME",2
"663",3006,"ME",2
"664",3007,"ME",2
"665",3008,"ME",1
"666",3018,"ME",2
"667",3037,"ME",2
"668",3053,"ME",4
"669",3072,"ME",6
"670",3097,"ME",2
"671",3186,"ME",3
"672",3232,"ME",5
"673",3236,"ME",4
"674",3280,"ME",4
"675",3286,"ME",2
"676",3415,"ME",1
"677",3422,"ME",2
"678",3432,"ME",2
"679",3600,"ME",2
"680",3612,"ME",1
"681",3780,"ME",1
"682",3800,"ME",2
"683",3954,"ME",2
"684",3960,"ME",48
"685",3961,"ME",6
"686",3963,"ME",18
"687",3965,"ME",2
"688",3968,"ME",2
"689",3969,"ME",2
"690",3970,"ME",1
"691",3971,"ME",6
"692",3973,"ME",1
"693",3976,"ME",1
"694",3977,"ME",21
"695",3979,"ME",4
"696",4053,"ME",2
"697",4057,"ME",1
"698",4123,"ME",2
"699",4464,"ME",2
"700",4528,"ME",2
"701",4573,"ME",1
"702",4900,"ME",4
"703",5415,"ME",2
"704",5643,"ME",2
"705",6010,"ME",3
"706",6020,"ME",2
"707",6048,"ME",2
"708",6053,"ME",2
"709",6221,"ME",1
"710",6340,"ME",2
"711",6414,"ME",3
"712",6460,"ME",1
"713",8008,"ME",3
"714",8038,"ME",3
"715",8045,"ME",1
"716",8046,"ME",2
"717",8047,"ME",2
"718",8048,"ME",2
"719",8050,"ME",1
"720",8051,"ME",2
"721",8053,"ME",1
"722",8055,"ME",2
"723",8154,"ME",1
"724",8155,"ME",2
"725",8344,"ME",2
"726",8370,"ME",2
"727",8583,"ME",2
"728",8600,"ME",2
"729",8712,"ME",2
"730",8802,"ME",1
"731",8824,"ME",2
"732",8887,"ME",1
"733",8902,"ME",2
"734",8957,"ME",3
